Xabskor,Yabskor,Zabskor
523705,9950973,50
523705,9950993,52
523705,9951013,51
523705,9951033,50
523705,9951053,45
523705,9951073,38
523725,9951073,39
523745,9951073,41
523765,9951073,40
523785,9951073,36
523792,9951073,36
523805,9951073,31
523805,9951061,33
523805,9951053,34
523805,9951033,36
523805,9951013,38
523805,9950993,36
523805,9950973,38
523785,9950973,42
523765,9950973,45
523745,9950973,46
523725,9950973,48
523705,9950973,50
523725,9950973,48
523725,9950993,49
523725,9951013,49
523725,9951033,48
523725,9951047,46
523725,9951053,43
523725,9951073,39
523745,9951073,41
523745,9951053,42
523745,9951033,44
523745,9951013,45
523745,9950993,46
523745,9950973,46
523765,9950973,45
523765,9950993,44
523765,9951013,44
523765,9951033,43
523765,9951053,42
523765,9951073,40
523785,9951073,36
523785,9951053,40
523785,9951033,42
523785,9951013,42
523785,9950993,42
523785,9950973,42
